task,phi_t,dphi_t,E_t,Q_t,E_tm1,Q_tm1,dE_t,dQ_t,E_true,Q_true,E_pred,Q_pred,Q_raw_pred,Q_sign_prob_positive,p_surprise,state_pred,label
8,0.996196042706756,1.1680960283592992,-7.993754599173746,-0.0461523870358788,-9.93427438896175,-0.0657154804485364,1.940519789788004,0.019563093412657592,-10.116801209851957,-0.0860440806370294,-7.267061760477619,-0.05625527071344603,-0.03604950335831158,0.37216632862762844,0.7845914039087095,Surprise,P18
9,-0.2716357389523995,-2.0949183347252753,-10.116801209851957,-0.0860440806370294,-7.993754599173746,-0.0461523870358788,-2.1230466106782107,-0.039891693601150593,-7.78108841021465,-0.0388765083853679,-7.544214090355456,-0.13613335484686878,-0.03595480642719002,0.3772106202044892,0.8902147046717617,Surprise,P18
10,-0.7061912253353546,-0.4345554863829551,-7.78108841021465,-0.0388765083853679,-10.116801209851957,-0.0860440806370294,2.3357127996373066,0.047167572251661495,-7.158479332539719,-0.0850202673271385,-7.8310733464737865,-0.01514519736498559,-0.015145197364985591,0.5105367229142734,0.30552134479806403,CoCreation,P18
11,0.5758100037239873,1.282001229059342,-7.158479332539719,-0.0850202673271385,-7.78108841021465,-0.0388765083853679,0.6226090776749311,-0.04614375894177059,-9.080227563007616,-0.0383077149713467,-7.059325664150899,-0.13432566283573993,-0.03571487181853706,0.3770840069168218,0.546332676982708,Surprise,P18
13,-0.1301665303566339,-0.7059765340806212,-9.080227563007616,-0.0383077149713467,-7.158479332539719,-0.0850202673271385,-1.9217482304678972,0.046712552355791796,-9.496809042058953,0.2841808601779718,-7.348569822026587,-0.04006563463966925,-0.036549795303024143,0.37117130909100443,0.6958731901738545,Surprise,P18
17,-0.3073091078580874,-1.2174193735567127,-9.496809042058953,0.2841808601779718,-9.080227563007616,-0.0383077149713467,-0.41658147905133625,0.3224885751493185,-7.244573470929385,-0.0622164780443446,-7.480866218839395,-0.030931718524082608,-0.030931718524082618,0.3316157312991538,0.7316990502673154,Surprise,P18
19,-0.2417776359371927,0.3578928011602614,-7.244573470929385,-0.0622164780443446,-9.496809042058953,0.2841808601779718,2.2522355711295674,-0.3463973382223164,-7.380906923826219,-0.0269881805625729,-7.850045063009524,-0.0163824876284122,-0.016382487628412195,0.5490918005521735,0.3425140052674773,CoCreation,P18
22,1.026305747658785,0.1230573083906129,-7.380906923826219,-0.0269881805625729,-7.244573470929385,-0.0622164780443446,-0.1363334528968334,0.035228297481771705,-7.106896709975703,-0.0481838549438024,-7.077087012048035,-0.03569311255885502,-0.03569311255885502,0.3697580507528725,0.9283503458694812,Surprise,P18
23,-0.2919873761781572,0.5427717365991522,-7.106896709975703,-0.0481838549438024,-7.380906923826219,-0.0269881805625729,0.2740102138505156,-0.021195674381229504,-7.139233918464261,-0.0196170372594944,-7.985808561749921,-0.015334181033118857,-0.015334181033118855,0.5171905189907371,0.27272890865507216,CoCreation,P18
25,0.2588142417484418,0.5508016179265991,-7.139233918464261,-0.0196170372594944,-7.106896709975703,-0.0481838549438024,-0.032337208488558034,0.028566817684308004,-7.866740070611015,-0.0243823572229996,-7.033404310774882,-0.03516070701025214,-0.03516070701025214,0.36883861951295627,0.5717110733439271,Surprise,P18
27,-0.777945836025829,-1.3596697136065068,-7.866740070611015,-0.0243823572229996,-7.139233918464261,-0.0196170372594944,-0.7275061521467538,-0.0047653199635052,-7.535888348385769,-0.0622835193709461,-7.151971892763652,-0.034332059335878906,-0.034332059335878906,0.369448198335301,0.5184262468515047,Surprise,P18
